ASK,BID,QUANTITY
368.313,368.177,0
368.374,368.256,0
368.343,368.197,0
368.204,368.176,0
368.343,368.137,0
368.343,367.997,0
368.334,368.006,0
368.334,368.106,0
368.193,368.007,0
368.143,367.997,0
368.194,367.996,0
368.204,368.026,0
368.334,368.106,0
368.333,368.037,0
368.334,368.116,0
368.334,368.096,0
368.274,368.096,0
368.264,368.076,0
368.264,368.056,0
368.264,368.066,0
368.263,368.057,0
368.173,368.057,0
368.093,367.897,0
368.103,367.907,0
368.094,367.926,0
368.104,367.926,0
368.093,367.957,0
368.094,367.906,0
368.094,367.916,0
368.244,367.976,0
368.253,367.977,0
368.243,367.977,0
368.244,368.056,0
368.243,368.077,0
368.253,368.157,0
368.273,368.137,0
368.264,368.136,0
368.273,368.137,0
368.214,368.096,0
368.263,368.097,0
368.273,368.097,0
368.273,368.147,0
368.273,368.157,0
368.274,368.146,0
368.274,368.156,0
368.273,368.147,0
368.273,368.167,0
368.274,368.146,0
368.273,368.187,0
368.324,368.186,0
368.393,368.297,0
368.454,368.216,0
368.454,368.186,0
368.454,368.196,0
368.453,368.257,0
368.454,368.226,0
368.454,368.276,0
368.453,368.227,0
368.453,368.187,0
368.453,368.197,0
368.453,368.187,0
368.453,368.227,0
368.453,368.257,0
368.454,368.306,0
368.454,368.256,0
368.453,368.317,0
368.533,368.327,0
368.534,368.356,0
368.533,368.317,0
368.533,368.257,0
368.423,368.237,0
368.424,368.246,0
368.533,368.337,0
368.533,368.247,0
368.533,368.267,0
368.404,368.226,0
368.303,368.147,0
368.313,368.147,0
368.303,368.147,0
368.313,368.147,0
368.233,368.117,0
368.253,368.127,0
368.244,368.116,0
368.243,368.097,0
368.113,368.007,0
368.113,367.967,0
368.134,367.966,0
368.133,367.977,0
368.154,368.016,0
368.193,368.037,0
368.223,368.047,0
368.223,368.077,0
368.223,368.067,0
368.224,368.076,0
368.243,368.077,0
368.254,368.116,0
368.223,368.077,0
368.213,368.077,0
368.223,368.077,0
368.184,368.036,0
368.193,368.037,0
368.254,368.036,0
368.243,368.037,0
368.183,368.037,0
368.194,368.036,0
368.184,368.036,0
368.144,368.036,0
368.163,368.037,0
368.163,368.017,0
368.154,368.016,0
368.074,367.986,0
368.094,367.956,0
368.093,367.917,0
368.093,367.967,0
368.094,367.956,0
368.073,367.897,0
368.054,367.896,0
368.034,367.896,0
368.073,367.957,0
368.064,367.816,0
368.033,367.837,0
368.044,367.836,0
367.954,367.836,0
367.924,367.796,0
367.914,367.806,0
367.923,367.797,0
367.923,367.837,0
367.903,367.797,0
367.904,367.826,0
367.883,367.797,0
367.823,367.777,0
367.883,367.747,0
367.883,367.687,0
367.883,367.737,0
367.864,367.706,0
367.863,367.747,0
367.884,367.736,0
367.884,367.746,0
367.883,367.737,0
367.884,367.746,0
367.903,367.767,0
367.904,367.796,0
367.903,367.787,0
